count,route_id,linkid_list,nav_status,remain_distance,UpdateType
1066,215937208,107726327/107726232/107726276/,2,100000,0
1070,215937208,107726328/107726232/107726276/,2,100000,0
1074,215937208,107726329/107726232/107726276/,2,100000,0
1077,215937208,107726330/107726232/107726276/,2,100000,0
1077,215937208,107726331/107726232/107726276/,2,100000,0
1078,215937208,107726332/107726232/107726276/,2,100000,0
1082,215937208,107726333/107726232/107726276/,2,100000,0
1086,215937208,107726334/107726232/107726276/,2,100000,0
1090,215937208,107726335/107726232/107726276/,2,100000,0
1094,215937208,107726336/107726232/107726276/,2,100000,0
1097,215937208,107726337/107726232/107726276/,2,100000,0
1097,215937208,107726338/107726232/107726276/,2,100000,0
1098,215937208,107726339/107726232/107726276/,2,100000,0
1102,215937208,107726340/107726232/107726276/,2,100000,0
1106,215937208,107726341/107726232/107726276/,2,100000,0
1110,215937208,107726342/107726232/107726276/,2,100000,0
1114,215937208,107726343/107726232/107726276/,2,100000,0
1117,215937208,107726344/107726232/107726276/,2,100000,0
1117,215937208,107726345/107726232/107726276/,2,100000,0
1118,215937208,107726346/107726232/107726276/,2,100000,0
1122,215937208,107726347/107726232/107726276/,2,100000,0
1125,215937208,107726348/107726232/107726276/,2,100000,0
1129,215937208,107726349/107726232/107726276/,2,100000,0
1133,215937208,107726350/107726232/107726276/,2,100000,0
1137,215937208,107726351/107726232/107726276/,2,100000,0
1137,215937208,107726352/107726232/107726276/,2,100000,0
1137,215937208,107726353/107726232/107726276/,2,100000,0
1141,215937208,107726354/107726232/107726276/,2,100000,0
1145,215937208,107726355/107726232/107726276/,2,100000,0
1149,215937208,107726356/107726232/107726276/,2,100000,0
1153,215937208,107726357/107726232/107726276/,2,100000,0
1156,215937208,107726358/107726232/107726276/,2,100000,0
1157,215937208,107726359/107726232/107726276/,2,100000,0
1157,215937208,107726360/107726232/107726276/,2,100000,0
1161,215937208,107726361/107726232/107726276/,2,100000,0
1165,215937208,107726362/107726232/107726276/,2,100000,0
1169,215937208,107726363/107726232/107726276/,2,100000,0
1173,215937208,107726364/107726232/107726276/,2,100000,0
1176,215937208,107726365/107726232/107726276/,2,100000,0
1176,215937208,107726366/107726232/107726276/,2,100000,0
1177,215937208,107726367/107726232/107726276/,2,100000,0
1181,215937208,107726368/107726232/107726276/,2,100000,0
1185,215937208,107726369/107726232/107726276/,2,100000,0
1189,215937208,107726370/107726232/107726276/,2,100000,0
1193,215937208,107726371/107726232/107726276/,2,100000,0
1196,215937208,107726372/107726232/107726276/,2,100000,0
1196,215937208,107726373/107726232/107726276/,2,100000,0
1197,215937208,107726374/107726232/107726276/,2,100000,0
1201,215937208,107726375/107726232/107726276/,2,100000,0
1205,215937208,107726376/107726232/107726276/,2,100000,0
1209,215937208,107726377/107726232/107726276/,2,100000,0
1213,215937208,107726378/107726232/107726276/,2,100000,0
1216,215937208,107726379/107726232/107726276/,2,100000,0
1216,215937208,107726380/107726232/107726276/,2,100000,0
1217,215937208,107726381/107726232/107726276/,2,100000,0
1221,215937208,107726382/107726232/107726276/,2,100000,0
1225,215937208,107726383/107726232/107726276/,2,100000,0
1229,215937208,107726384/107726232/107726276/,2,100000,0
1233,215937208,107726385/107726232/107726276/,2,100000,0
1236,215937208,107726386/107726232/107726276/,2,100000,0
1236,215937208,107726387/107726232/107726276/,2,100000,0
1237,215937208,107726388/107726232/107726276/,2,100000,0
1256,215937208,107726389/107726232/107726276/,2,100000,0
1276,215937208,107726390/107726232/107726276/,2,100000,0
1296,215937208,107726391/107726232/107726276/,2,100000,0
1316,215937208,107726392/107726232/107726276/,2,100000,0
1336,215937208,107726393/107726232/107726276/,2,100000,0
1356,215937208,107726394/107726232/107726276/,2,100000,0
1376,215937208,107726395/107726232/107726276/,2,100000,0
1396,215937208,107726396/107726232/107726276/,2,100000,0
1416,215937208,107726397/107726232/107726276/,2,100000,0
1436,215937208,107726398/107726232/107726276/,2,100000,0
1456,215937208,107726399/107726232/107726276/,2,100000,0
